7,101,84,Purple,4
7,100,690,Blue,1
7,722,612,Blue,1
7,403,254,White,3
8,342,657,Orange,1
8,907,147,Orange,4
8,103,504,Green,2
8,659,153,Green,4
8,542,733,Yellow,1
8,865,406,Yellow,2
8,384,64,Yellow,4
8,836,742,Pink,1
8,121,279,Pink,3
8,497,445,Purple,2
8,100,83,Purple,4
8,100,689,Blue,1
8,722,612,Blue,1
8,403,254,White,3
9,342,657,Orange,1
9,907,147,Orange,4
9,103,504,Green,2
9,659,153,Green,4
9,542,733,Yellow,1
9,865,406,Yellow,2
9,384,64,Yellow,4
9,836,742,Pink,1
9,121,279,Pink,3
9,497,445,Purple,2
9,100,83,Purple,4
9,100,690,Blue,1
9,722,612,Blue,1
9,403,255,White,3
10,342,657,Orange,1
10,907,147,Orange,4
10,103,504,Green,2
10,659,153,Green,4
10,542,733,Yellow,1
10,865,406,Yellow,2
10,384,64,Yellow,4
10,836,742,Pink,1
10,121,280,Pink,3
10,497,445,Purple,2
10,101,84,Purple,4
10,100,690,Blue,1
10,722,612,Blue,1
10,403,254,White,3
11,343,657,Orange,1
11,907,147,Orange,4
11,104,503,Green,2
11,659,153,Green,4
11,544,733,Yellow,1
11,866,406,Yellow,2
11,384,64,Yellow,4
11,837,742,Pink,1
11,121,280,Pink,3
11,499,445,Purple,2
11,102,84,Purple,4
11,101,689,Blue,1
11,724,612,Blue,1
11,404,254,White,3
12,345,656,Orange,1
12,910,147,Orange,4
12,104,503,Green,2
12,661,153,Green,4
12,545,734,Yellow,1
12,867,406,Yellow,2
12,387,64,Yellow,4
12,837,742,Pink,1
12,122,279,Pink,3
12,501,444,Purple,2
12,102,83,Purple,4
12,101,689,Blue,1
12,725,612,Blue,1
12,406,254,White,3
13,345,656,Orange,1
13,911,148,Orange,4
13,105,503,Green,2
13,663,152,Green,4
13,546,733,Yellow,1
13,867,406,Yellow,2
13,388,64,Yellow,4
13,838,742,Pink,1
13,123,279,Pink,3
13,501,444,Purple,2
13,103,83,Purple,4
13,102,689,Blue,1
13,726,612,Blue,1
13,407,254,White,3
